symbol,price
YFIIBTC,0.07249000
YFIIBUSD,1192.00000000
YFIIUSDT,435.50000000
KSMBNB,0.09080000
KSMBTC,0.00078400
KSMBUSD,18.87000000
KSMUSDT,53.62000000
EGLDBNB,0.14230000
EGLDBTC,0.00101000
EGLDBUSD,41.53000000
EGLDUSDT,69.14000000
DIABNB,0.00381300
DIABTC,0.00000892
DIABUSD,0.23840000
DIAUSDT,0.61090000
RUNEUSDT,7.51800000
FIOUSDT,0.04372000
UMABTC,0.00007052
UMAUSDT,4.82100000
EOSUPUSDT,0.21130000
EOSDOWNUSDT,0.00036650
TRXUPUSDT,0.03854000
TRXDOWNUSDT,1.13900000
XRPUPUSDT,0.08550000
XRPDOWNUSDT,0.00008172
DOTUPUSDT,0.09600000
DOTDOWNUSDT,16.73700000
SRMBIDR,26748.00
ONEBIDR,119.92
LINKTRY,656.70000000
USDTNGN,1518.40000000
BELBNB,0.00253800
BELBTC,0.00001382
BELBUSD,0.53560000
BELUSDT,0.94520000
WINGBNB,0.04865000
WINGBTC,0.00015490
SWRVBNB,0.00150400
SWRVBUSD,0.56490000
WINGBUSD,5.79000000
WINGUSDT,10.56000000
